Electric billing,4-Sep-2014,24-Sep-2014,167,kWh,$24.61 
Electric billing,25-Sep-2014,23-Oct-2014,244,kWh,$37.08 
Electric billing,24-Oct-2014,22-Nov-2014,319,kWh,$48.98 
Electric billing,23-Nov-2014,23-Dec-2014,365,kWh,$56.56 
Electric billing,24-Dec-2014,23-Jan-2015,388,kWh,$63.14 
Electric billing,24-Jan-2015,24-Feb-2015,359,kWh,$58.39 
Electric billing,25-Feb-2015,25-Mar-2015,317,kWh,$51.86 
Electric billing,26-Mar-2015,24-Apr-2015,334,kWh,$54.88 
Electric billing,25-Apr-2015,26-May-2015,338,kWh,$55.65 
Electric billing,27-May-2015,24-Jun-2015,265,kWh,$43.41 
Electric billing,25-Jun-2015,23-Jul-2015,226,kWh,$37.03 
Electric billing,24-Jul-2015,24-Aug-2015,311,kWh,$50.94 
Electric billing,25-Aug-2015,23-Sep-2015,292,kWh,$48.61 
Electric billing,24-Sep-2015,22-Oct-2015,271,kWh,$45.34 
Electric billing,23-Oct-2015,21-Nov-2015,314,kWh,$52.63 
Electric billing,22-Nov-2015,22-Dec-2015,209,kWh,$34.96 
Electric billing,23-Dec-2015,22-Jan-2016,282,kWh,$50.08 
Electric billing,23-Jan-2016,23-Feb-2016,426,kWh,$80.06 
Electric billing,24-Feb-2016,23-Mar-2016,348,kWh,$65.49 
Electric billing,24-Mar-2016,22-Apr-2016,303,kWh,$55.27 
Electric billing,23-Apr-2016,23-May-2016,362,kWh,$67.86 
Electric billing,24-May-2016,22-Jun-2016,284,kWh,$51.80 
Electric billing,23-Jun-2016,22-Jul-2016,336,kWh,$63.23 
Electric billing,23-Jul-2016,23-Aug-2016,348,kWh,$64.91 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
